Adventurine	Attracts Prosperity and Money
Beryl	Psychic Awareness, Relationships, Energy, Protection against gossip.
Black Jasper	Healing, protection. Specifically black jasper - banishing
Black Onyx	Negativity, Stress and Grief Relief.  Happiness, Good Fortune, Morality, Increase Stamina and Self Control
Bloodstone	Balance, Business, Abundance, Confidence, Centering, Grounding, Calming, Courage, Mental/Physical/Emotional Renewal, Confidence, Strength, Control.
Blue Calcite	Astral Projection, Balance, Fear, Joy, Lightness, Stress
Blue Celestite	Angelic Realms, Clear Perspective, Detachment, Divine Inspiration
Blue Holley Agate	Aid to vivid dreams
Blue John	Secrets of the earth. 
Blue Kyanite	Calm, Dispelling anger and negativity. Communication, Meditation, Psychic awareness. 
Blue Lace Agate	Peace, Tranquility, Calmness, Creativity, Abstract thinking, Protection
Blue Topaz	Money, Attracting Love, Relieves negativity.
Botswana Agate	Creativity, Healing, Mood Lifting, Eliminating Toxins, Comforting. Also known as the "Change Stone"-Helps one handle change in a positive way. Eases the pain of loss and loneliness. Soothes depression, Protect.
Calcite	Balance, Clarity, Clearing Blockages, Luck, money, Problem resolution, Energy, Meditation
Calcite Orange	Protection,enhances sexual energies and creative abilities. 
Calcite White	Used in spirituality rituals and meditation. Improves memory. Has a calming effect.
Carnelian	Creativity, Individualism, Courage, Memory, Concentration, Confidence, Decisions, Grounding, Sexuality,Balancing, Self-confidence, Peace, Eases depression.
Casisterite	Acceptance, Prevent negative thoughts, Understanding dreams.
Cats Eye	Problem solving capabilities.
Celestite	Peace, Calm, Grounding, Dreams
Chalcedony	Protects from Evil eye, Expression of Emotional needs, Honesty, Alleviates regret.
Charoite	Conquering Fears
Chryscholla	Peace, Patience, Love, Wisdom, Ward off unreasonable fear, Prosperity, Growth, Hope
Chrysoprase	Clears blockages in communication, Promotes Eloquence and Persuasiveness.
Citrine	Abundance, Confidence, Strengthens self-esteem, Courage, Clarity of thought, Open mindedness, Successful outcomes, Communication, Anti-nightmare, Protection, Psychic Awareness.
Conichalite	Transcendence. Stepping between the worlds.
Coral	Fertility
Dalmation Jasper	Protect from pain, Guard independence.
Desert Rose	Peace, tranquility, security, protection.
Diamond	Personal growth, Spiritual lessons, Resilience, Perseverance.
Dolomite	Generosity, Thinking, Spontaneity, Creativity, Manifestation.
Dumortierite	Organizational abilities, Self discipline, Order.
Eliat Stone	Loving feelings
Emerald	Mental powers, Psychic awareness, Harmony, Protection, Love, Attracts wealth, Profitable, Business success, Promotes memory
Erithyrite	Visions, spirituality, psychic powers.
Falcon's Eye	Astral travel, Clairvoyance, Remote viewing.
Fluorite	Truth, Protection, Problem solving, Aura Cleansing, Focusing, Concentration
Fuschite	Balance, harmony
Galena	The 'stone of harmony' removes self-imposed limits, and stimulates interactions at all levels.Galena is a strong grounding stone, enhancing the centring of ones energies.
Garnet	Commitment, Romantic Love, Passion.  Enhances sensuality, sexuality and intimacy, Travel protection, Happiness, Positive thoughts,Boosts energy and self confidence
Gem Silica	Emotional balancing effect. It is said that this mineral will enhance feminine energy and help alleviate female problems.
Goldstone	Uplifting, Hope, Protection
Green Aventurine	Balance, creativity, healing, luck.
Green Calcite	Spirituality, centering, peace, love, healing, purification, money, protection, energy
Green Fluorite	Mental Abilities, Problem solving, Reducing emotional involvement. Increases the energies of other stones.
Green Gypsom	Relieves stagnation, level headedness.
Grey banded agate	Eases stress, reduces anxiety.
Grossular Garnet	Manifestation, abundance, confidence
Hematite	Mental Organization, Stress relief, Grounding, Calming. Decrease negativity. Balance body/mind/spirit, Protection, Hex breaking
Hemimorphite	Aids in healing unhealthy or damaged relationships.
Howlite	Calming, Relieves anxiety, Artistic expression, Creativity, Eliminating selfishness, Spirituality
Iolite	Accurate visions, Releases discord, Psychic ability, Curiosity, Spiritual growth, Connection with soul.
Iron Pyrates	Discerning trickery, falsehood.
Jade	Wisdom, Attracts Love and Money, Useful for Protection, Stress relief, Purity, Serenity, Luck, Prosperity. Strengthens mental faculties, Guards against accidents and mishaps, Confidence, Fertility.
Jadeite	Strengthens the body, Protects from Fatigue, Heals internal disorders, Extends Lifespan.
Jasper (Brachiated)	Animal Healing, Animal communication
Jasper (Leopard Skin)	Aids in service to others, Grounding, Protection during travel
Jasper (Red)	Protection, Fairness, Justice, Stabilizing and Balancing Enhances responsibility, Choice, Compassion, Recalling dreams
Jasper (Yellow)	Strength and Balance in social arenas .  Protection during travel.  Shields negativity, Protect from depression
Jet	Grief, Purification, Psychic protection, Virility, control, Luck, Health.
Kunzite	Creativity, Peace of mind, Communication, Protection.
Kyanite	Awareness, Communication, Altered states, Vivid dreams, Dream recall, Visualizations, Loyalty Honesty, Tranquiliy, Meditation, Clarity, Enhances creativity.
Labradorite	Faith, Patience, Imagination, Courage. Enhance dreaming and dream recall. Strengthening convictions,Introspection.
Lapis Lazuli	Creativity, Truthfulness, Divination, Openness, Inner power, Intuition, Virility. Strengthen mind and body, Increase awareness. Protection, Promotes Courage. Relieve depression, promote peace, Grounding
Larimar	Promote tranquillity, Strong sense of inner peace and serenity.
Lepidolite	New beginnings, Astral Work, Changes, Serenity, Peace, Clear communication.
Lodestone	Attraction, Focus, Sleep
Malachite	"Transformation" stone. Love, Romance, Well being, Wisdom, Friendship, Nature, Fertility, Overcoming negativity and depression, Money, Protection from physical danger
Merlinite	Attracts Good luck and Magick and into your life.
Moldavite	Psychic abilities, Mental and Emotional balance
Molybdentite	Bring Reliability, Consistency.
Mookaite	Grounding, Meditation. Helps with fear and depression.
Moonstone	Forgiveness, Divination, Psychic work, Luck, Clarity, Spiritual understanding, Protection, Love, "Travelers Stone", Goddess connection, Femininity, Childbirth. Dieting
Obsidian	Calming, Grounding, Balancing, Serenity, Increasing spirituality, Purity, Guards against negativity.Protection, Aggressive magic.
Okenite	Uncover unconscious Thoughts, Psychic visions and Channelling.
Onyx	Releasing negative emotions, Good fortune, Personal strength.
Opal	Creativity, Positive emotions, Joy, Faithfulness, Self-confidence, Wisdom
Peacock Ore	Happiness, Joy, Positivity.
Peridot	Changes, Guards against psychic attack, Attract love, Prosperity, Growth, Calm ranger, Dispels negative emotions, Promotes sound sleep, Relieves depression.
Petrified Wood	Grounding, Stabilizing, Calming, Business Success. Used in spells to give long life, to recall past lives. Used as an amulet deflects negativity
Pink Agate	Love.  It soothes anger and negative energy
Prase	Resolves sexuality issues. Sense of oneness with universe.
Purple Flourite	Psychic development, Spiritual peace, Aids the ability to meditate.
Quartz (Clear)	Harmonize, Balance, Purify.  Enhance energy and thoughts. Counter Black Magick, Communicate with Spirits
Quartz (Rose)	The stone of unconditional love.  Gentleness, Forgiveness, Tolerance
Red Aventurine	Reduce negative thoughts, Encourage a positive attitude.
Red Jasper	Protection, Beauty, Grace, Luck
Rhodochrosite	Balance, Sexual adventure, Fertility, Pregnancy.
Rhodochrosite	Self-confidence, Energy, Peace, Destressing. Attract love. Balancing, Beauty, Intelligence
Rhodonite	Happiness, Laughter, Joy, Self-worth, Self-esteem, Self-confidence, Understanding new concepts
Rhyolitem (Leopardskin)	Protection, Emotional and Confident Expression.
Ruby in Zoisitr	Healing. Relieves Grief, Anger, Despair and Defeat. Guarding against psychic attack and negativity.
Rutilated Quartz	Energy, Vitality. Conquer Fears, Anxieties and Phobias.
Sapphire	Self-discipline, Love, Beauty, Meditation, Peace, Healing, Friendship, Fertility
Selenite	Peace, tranquility, balance within the soul. Protection of the mind, shielding.
Serpentine	Attracting Love, Money, Wealth, Abundance. Visualization, Meditation,Psychic abilities.
Smoky Quartz	Grounding, Balance, Calms the mind, Reduces Fear and Panic,Elevates mood, Neutralises negative vibrations.
Snow Quartz	Calming stone, Enhance meditation. Supports Learning.
Snowflake Obsidian	Encourages inner reflection, Enhances serenity, Absorbs negativity,
Sodalite	Clears the mind, Logic, Communication, Rationality, Efficiency, Intelligence, Knowledge, Learning, Peace, Meditation, Healing. Encourages rational thought, Objectivity, truth and intuition. 
Stilbite	Calm, Restful sleep with vivid dreams, Iinner peace during meditation.
Sugalite	Psychic awareness, Connection between mind and body, Confidence. 
Sunstone	Eliminate fearfulness, Stress relief, Success, Vitality, Courage, Independence, Physical energy
Tanzanite	Develop psychic power, Clairvoyance, Spirituality, Protection, Wisdom
Tektite	Raising vibrations, Strengthening the aura. Provides deeper knowledge of current situations or problems.
Tiger Eye	Balancing, Grounding, Optimism, Psychic Powers, Restores physical energy, Dreaming, Protection, Divination
Topaz	Creativity, Energy, Generosity, Emotional balance, Abundance, Confidence
Tourmalinated Quartz	Protects from negativity, Balance
Tourmaline	Balance, Dispels the effects of negative energy, Confidence, Weight loss, Creativity, Success, Prosperity, Attracting love
Turquoise	Grounding, Mind stabilising, Calming, Reduces anxiety.
Unakite	Healthy pregnancy, Protection, Power, Balance, Healing, Friendship
Variscite	Encourages self-expression,Provides Hope and Courage.Calms the mind, Meditation, Increases perception. 
